Date,Open,High,Low,Close,Volume
29.04.2024 18:10:00,"319,75",326,"319,5",326,40620394
30.04.2024 18:10:00,325,"327,75","320,75",326,45375021
02.05.2024 18:10:00,"327,75",332,323,"325,25",41134014
03.05.2024 18:10:00,326,328,"322,25",325,28796189
06.05.2024 18:10:00,"324,5","327,25","323,25",326,25902824
07.05.2024 18:10:00,"326,5","330,75",325,330,39049366
08.05.2024 18:10:00,"330,75","330,75","327,75","327,75",21381759
09.05.2024 18:10:00,"327,75","328,75","323,5","325,25",21343901
10.05.2024 18:10:00,"325,5",326,318,318,33832131
13.05.2024 18:10:00,"318,25","321,25",313,"314,25",29664382
14.05.2024 18:10:00,"314,75",316,"309,75","310,25",34705165
15.05.2024 18:10:00,"310,25",312,305,"305,5",29942233
16.05.2024 18:10:00,"307,5","309,25","303,5",307,44314185
17.05.2024 18:10:00,"310,25","323,75",310,"323,5",46769335
20.05.2024 18:10:00,322,"327,75","321,25","323,5",31020797
21.05.2024 18:10:00,"324,5",330,"321,5","322,5",48484511
22.05.2024 18:10:00,"324,5","326,75",319,"321,5",27609960
23.05.2024 18:10:00,319,"326,25",317,"317,5",50020450
24.05.2024 18:10:00,"318,25","320,5","315,75","318,25",22962145
27.05.2024 18:10:00,"319,5","319,75",313,315,23215678
28.05.2024 18:10:00,"315,25","316,25",311,312,20717843
29.05.2024 18:10:00,"312,5","315,75",306,306,31728784
30.05.2024 18:10:00,"307,5","309,5","304,5",306,26493682
31.05.2024 18:10:00,"307,75","313,25","299,25","302,75",50174552
03.06.2024 18:10:00,"305,25",312,304,312,46466026
04.06.2024 18:10:00,"312,5",314,"305,25",306,33440269
05.06.2024 18:10:00,"306,25",313,"302,75","312,25",43218700
06.06.2024 18:10:00,"312,75",314,"304,25","305,5",27854769
07.06.2024 18:10:00,"307,5","307,5",301,"302,5",20682374
10.06.2024 18:10:00,"300,25","302,5",299,"299,75",19319106
11.06.2024 18:10:00,"300,5",307,"298,5","302,5",36835923
12.06.2024 18:10:00,"302,25","307,25",301,305,36966572
13.06.2024 18:10:00,"309,5","311,75","307,5","309,5",24134208
14.06.2024 18:10:00,"313,25",315,"309,75","311,75",29420180
20.06.2024 18:10:00,"315,25","316,25",310,316,39255358
21.06.2024 18:10:00,316,"316,75","313,75",316,30476761
24.06.2024 18:10:00,"317,25","317,5",309,"310,25",30082945
25.06.2024 18:10:00,"310,5",311,"305,5","305,75",27306032
26.06.2024 18:10:00,"305,75","306,5",301,301,22618331
27.06.2024 18:10:00,"302,5","307,5","302,5","305,75",23234871
28.06.2024 18:10:00,"307,75","310,75","306,5","308,75",38137283
01.07.2024 18:10:00,310,"310,5",293,"295,75",45407891
02.07.2024 18:10:00,"295,75",298,"293,25","297,75",24290887
03.07.2024 18:10:00,299,"303,5","297,75","303,25",30092887
04.07.2024 18:10:00,"304,5","311,5","303,5",311,33671381
05.07.2024 18:10:00,311,"313,25","307,25",308,29827422
08.07.2024 18:10:00,"308,5","309,75","305,25",306,23101726
09.07.2024 18:10:00,"306,75","311,75","306,25","310,75",37325340
10.07.2024 18:10:00,311,"311,25","304,75","304,75",30531140
11.07.2024 18:10:00,"307,25",310,307,310,26001104
12.07.2024 18:10:00,"310,5","310,5",307,"307,25",23966972
16.07.2024 18:10:00,308,"309,75",307,"307,5",25171747
17.07.2024 18:10:00,308,"311,75","305,75","309,25",38206650
18.07.2024 18:10:00,311,"318,5",311,"316,5",45789387
19.07.2024 18:10:00,316,"318,75","312,75","315,5",36619426
22.07.2024 18:10:00,316,317,"309,75","309,75",27596166
23.07.2024 18:10:00,310,311,"305,5",306,28899602
24.07.2024 18:10:00,"306,25","307,75","303,75",305,22634121
25.07.2024 18:10:00,"305,25","306,25","298,5","300,25",29953941
26.07.2024 18:10:00,"300,75","303,5","300,5","301,5",16653480
29.07.2024 18:10:00,"298,75","299,5","293,75",294,22278905
30.07.2024 18:10:00,"294,5",297,"292,5","293,5",25620856
31.07.2024 18:10:00,"291,25",292,"288,25","289,25",27502263
01.08.2024 18:10:00,293,"298,25",293,"297,5",21064407
02.08.2024 18:10:00,"292,5","293,75","288,25","291,5",19507021
05.08.2024 18:10:00,"271,25","280,75","271,25",277,33305862
